Timestamp,wifi_level
2647, 9
2649, 9
2651, 9
2653, 9
2655, 9
2656, 9
2658, 9
2660, 9
2662, 9
2663, 9
2665, 9
2666, 9
2668, 9
2669, 9
2671, 9
2672, 9
2674, 9
2675, 9
2676, 9
2678, 9
2679, 9
2681, 9
2682, 9
2684, 9
2686, 9
2688, 9
2689, 9
2691, 9
2692, 9
2694, 9
2697, 9
2699, 9
2701, 9
2703, 9
2706, 9
2708, 9
2711, 9
2714, 9
2716, 9
2718, 9
2721, 9
2724, 9
2726, 9
2728, 9
2731, 9
2733, 9
2736, 9
2738, 9
2741, 9
2744, 9
2746, 9
2748, 9
2750, 9
2753, 9
2755, 9
2757, 9
2760, 9
2763, 9
2765, 9
2767, 9
2769, 9
2771, 9
2773, 9
2775, 9
2778, 9
2781, 9
2784, 9
2789, 9
2793, 9
2796, 9
2798, 9
2801, 9
2804, 9
2807, 9
2810, 9
2813, 9
2815, 9
2817, 9
2821, 9
2825, 9
2827, 9
2830, 9
2833, 9
2837, 9
2841, 9
2843, 9
2846, 9
2848, 9
2850, 9
2854, 9
2856, 9
2858, 9
2861, 9
2863, 9
2866, 9
2869, 9
2871, 9
2874, 9
2876, 9
2879, 9
2882, 9
2885, 9
2889, 9
2891, 9
2894, 9
2897, 9
2901, 9
2905, 9
2908, 9
2910, 9
2913, 9
2915, 9
2918, 9
2923, 9
2925, 9
2928, 9
2930, 9
2934, 9
2936, 9
2940, 9
2942, 9
2945, 9
2948, 9
2952, 9
2956, 9
2960, 9
2962, 9
2965, 9
2968, 9
2970, 9
2973, 9
2976, 9
2979, 9
2981, 9
2984, 9
2986, 9
2989, 9
2991, 9
2997, 9
3000, 9
3002, 9
3008, 9
3010, 9
3013, 9
3015, 9
3017, 9
3025, 9
3028, 9
3031, 9
3034, 9
3040, 9
3043, 9
3045, 9
3047, 9
3050, 9
3057, 9
3059, 9
3062, 9
3065, 9
3068, 9
3070, 9
3073, 9
3077, 9
3080, 9
3083, 9
3086, 9
3088, 9
3090, 9
3093, 9
3096, 9
3098, 9
3102, 9
3109, 9
3112, 9
3115, 9
3119, 9
3124, 9
3130, 9
3133, 9
3135, 9
3143, 9
3146, 9
3148, 9
3151, 9
3156, 9
3158, 9
3161, 9
3164, 9
3168, 9
3172, 9
3174, 9
3176, 9
3178, 9
3181, 9
3183, 9
3185, 9
3189, 9
3194, 9
3197, 9
3200, 9
3202, 9
3206, 9
3209, 9
3211, 9
3215, 9
3218, 9
3221, 9
3225, 9
3228, 9
3230, 9
3232, 9
3235, 9
3238, 9
3241, 9
3244, 9
3247, 9
3249, 9
3252, 9
3256, 9
3259, 9
3261, 9
3262, 9
3265, 9
3268, 9
3270, 9
3273, 9
3275, 9
3277, 9
3280, 9
3282, 9
3285, 9
3289, 9
3292, 9
3294, 9
3297, 9
3301, 9
3304, 9
3308, 9
3311, 9
3314, 9
3317, 9
3319, 9
3323, 9
3326, 9
3330, 9
3335, 9
3339, 9
3342, 9
3345, 9
3347, 9
3350, 9
3354, 9
3358, 9
3361, 9
3363, 9
3365, 9
3369, 9
3372, 9
3375, 9
3377, 9
3380, 9
3383, 9
3385, 9
3387, 9
3391, 9
3395, 9
3398, 9
3401, 9
3403, 9
3407, 9
3411, 9
3413, 9
3416, 9
3419, 9
3423, 9
3425, 9
3428, 9
3431, 9
3434, 9
3436, 9
3440, 9
3443, 9
3446, 9
3449, 9
3451, 9
3455, 9
3459, 9
3462, 9
3465, 9
3470, 9
3474, 9
3477, 9
3480, 9
3483, 9
3485, 9
3491, 9
3494, 9
3497, 9
3500, 9
3503, 9
3509, 9
3513, 9
3517, 9
3520, 9
3526, 9
3530, 9
3534, 9
3537, 9
3542, 9
3544, 9
3547, 9
3550, 9
3552, 9
3558, 9
3561, 9
3564, 9
3567, 9
3569, 9
3573, 9
3576, 9
3579, 9
3582, 9
3584, 9
3588, 9
3593, 9
3595, 9
3597, 9
3599, 9
3602, 9
3604, 9
3607, 9
3610, 9
3612, 9
3614, 9
3618, 9
3621, 9
3626, 9
3629, 9
3632, 9
3634, 9
3637, 9
3639, 9
3642, 9
3645, 9
3648, 9
3651, 9
3653, 9
3659, 9
3662, 9
